Optimization Results - 20250601_002208
Fitness: 66346 out of 80958 lines

Priority -> Mode mapping:
Priority 0 -> Mode 0
Priority 1 -> Mode 9
Priority 2 -> Mode 2
Priority 3 -> Mode 17
Priority 4 -> Mode 10
Priority 5 -> Mode 13
Priority 6 -> Mode 46
Priority 7 -> Mode 29
Priority 8 -> Mode 8
Priority 9 -> Mode 56
Priority 10 -> Mode 5
Priority 11 -> Mode 54
Priority 12 -> Mode 3
Priority 13 -> Mode 1
Priority 14 -> Mode 7
Priority 15 -> Mode 55
Priority 16 -> Mode 15
Priority 17 -> Mode 4
Priority 18 -> Mode 18
Priority 19 -> Mode 6
Priority 20 -> Mode 12
Priority 21 -> Mode 68
Priority 22 -> Mode 23
Priority 23 -> Mode 26
Priority 24 -> Mode 50
Priority 25 -> Mode 51
Priority 26 -> Mode 43
Priority 27 -> Mode 22
Priority 28 -> Mode 38
Priority 29 -> Mode 41
Priority 30 -> Mode 53
Priority 31 -> Mode 14
Priority 32 -> Mode 57
Priority 33 -> Mode 27
Priority 34 -> Mode 36
Priority 35 -> Mode 31
Priority 36 -> Mode 70
Priority 37 -> Mode 66
Priority 38 -> Mode 65
Priority 39 -> Mode 60
Priority 40 -> Mode 25
Priority 41 -> Mode 64
Priority 42 -> Mode 58
Priority 43 -> Mode 59
Priority 44 -> Mode 32
Priority 45 -> Mode 75
Priority 46 -> Mode 40
Priority 47 -> Mode 67
Priority 48 -> Mode 73
Priority 49 -> Mode 72
Priority 50 -> Mode 63
Priority 51 -> Mode 34
Priority 52 -> Mode 76
Priority 53 -> Mode 74
Priority 54 -> Mode 11
Priority 55 -> Mode 69
Priority 56 -> Mode 19
Priority 57 -> Mode 21
Priority 58 -> Mode 44
Priority 59 -> Mode 24
Priority 60 -> Mode 62
Priority 61 -> Mode 42
Priority 62 -> Mode 16
Priority 63 -> Mode 52
Priority 64 -> Mode 39
Priority 65 -> Mode 20
Priority 66 -> Mode 45
Priority 67 -> Mode 47
Priority 68 -> Mode 35
Priority 69 -> Mode 28
Priority 70 -> Mode 33
Priority 71 -> Mode 61
Priority 72 -> Mode 48
Priority 73 -> Mode 49
Priority 74 -> Mode 30
Priority 75 -> Mode 37
Priority 76 -> Mode 71
