line_number,mode1,value1,mode2,value2,mode3,value3,mode4,value4
1,38,1,52,1,55,1,65,1
2,61,1,48,1,0,1,38,1
3,64,0,14,1,47,0,53,1
4,44,0,64,0,27,1,26,0
5,40,1,48,1,64,1,42,0
6,8,1,65,0,23,1,70,1
7,30,1,44,0,17,1,41,1
8,65,0,25,1,21,0,36,1
9,4,1,64,1,64,1,16,0
10,41,0,44,0,54,0,9,1
11,40,0,48,0,28,0,0,1
12,48,0,14,1,8,1,40,0
13,44,1,17,1,64,0,29,1
14,36,1,10,1,60,1,38,1
15,17,1,65,1,67,1,40,1
16,14,1,17,1,65,1,66,1
17,24,1,40,1,64,1,72,1
18,0,1,48,1,54,1,38,1
19,65,1,60,1,2,1,26,1
20,66,0,64,0,3,1,65,1
21,66,1,40,0,26,0,41,1
22,54,1,43,1,38,1,68,1
23,53,1,72,1,38,1,42,1
24,49,1,17,1,64,1,64,1
25,66,0,40,1,65,0,42,0
26,45,1,64,1,26,1,51,1
27,23,1,45,1,25,1,65,1
28,44,0,4,1,38,0,27,0
29,28,1,76,0,38,1,64,0
30,25,1,17,1,20,0,27,1
31,28,1,49,1,64,0,9,1
32,28,1,0,1,27,1,48,1
33,65,0,10,1,48,1,64,1
34,13,0,49,1,64,0,40,1
35,59,1,17,1,64,0,27,0
36,49,1,42,0,40,1,40,1
37,64,1,64,1,69,1,27,1
38,53,0,1,1,17,1,49,0
39,61,0,31,0,17,1,26,1
40,5,1,72,0,64,1,26,0
41,20,0,50,1,27,1,65,1
42,28,1,49,1,76,0,38,1
43,49,1,9,1,27,1,64,1
44,18,0,8,1,8,1,27,0
45,58,0,27,1,38,0,4,0
46,59,0,0,1,36,0,3,1
47,66,1,24,1,42,1,64,1
48,48,1,8,1,4,1,36,1
49,31,1,26,1,27,1,38,1
50,65,1,49,1,27,1,3,1
51,27,1,55,1,44,1,24,1
52,5,0,21,1,46,0,27,1
53,64,0,62,1,38,1,27,1
54,8,1,17,1,17,1,72,1
55,28,1,66,1,23,1,24,1
56,39,1,1,1,60,0,17,1
57,64,1,72,1,27,1,28,1
58,17,1,14,1,38,1,48,1
59,49,0,0,0,26,1,64,0
60,49,1,26,1,27,1,8,1
61,60,1,26,1,0,1,8,0
62,0,1,66,1,36,1,64,1
63,7,1,66,1,38,1,30,1
64,23,1,17,1,66,1,23,1
65,64,1,69,1,27,1,65,1
66,40,1,10,1,21,0,38,0
67,64,0,28,0,45,1,40,1
68,17,0,60,0,26,1,8,1
69,51,0,65,0,17,1,32,0
70,59,0,23,1,0,1,64,1
71,26,1,48,1,36,1,38,1
72,17,1,62,1,27,1,47,1
73,27,1,48,1,14,1,17,0
74,9,0,0,1,38,0,21,0
75,17,1,28,1,74,0,36,1
76,10,1,59,1,65,1,64,1
77,74,0,64,1,54,1,38,1
78,20,0,13,1,65,1,64,1
79,9,1,48,1,28,1,27,1
80,49,1,3,1,24,1,42,1
81,76,0,40,1,0,1,38,1
82,48,0,65,0,27,0,10,1
83,48,1,8,1,28,1,53,1
84,59,1,26,0,64,0,27,0
85,0,1,53,0,74,0,38,1
86,48,1,41,0,17,1,53,1
87,74,0,7,0,4,1,19,1
88,49,0,28,0,54,1,5,0
89,48,0,43,0,53,1,17,0
90,49,0,38,1,9,1,64,0
91,36,0,44,0,36,1,12,1
92,36,1,64,1,28,1,48,1
93,40,1,15,1,10,1,26,1
94,28,1,45,0,17,1,38,1
95,24,0,70,0,50,0,27,1
96,65,0,0,1,17,1,48,1
97,64,1,66,1,41,1,9,1
98,66,1,38,1,10,1,64,1
99,49,0,0,1,3,1,40,1
100,27,1,76,0,64,1,7,1
101,46,1,44,1,14,1,8,1
102,8,1,48,1,40,1,38,1
103,5,1,63,0,26,1,38,1
104,65,1,64,1,48,1,64,1
105,47,1,20,1,36,1,27,1
106,54,1,64,1,75,0,65,1
107,38,1,12,1,20,1,27,1
108,65,1,17,1,66,1,36,1
109,59,1,25,1,64,1,27,1
110,7,0,9,1,49,0,26,1
111,20,1,27,1,3,1,65,1
112,65,1,74,1,54,1,37,1
113,48,1,64,1,42,1,36,1
114,24,1,74,1,26,1,65,1
115,74,1,38,1,40,1,27,1
116,40,1,66,1,65,0,61,0
117,38,0,25,0,65,1,66,0
118,67,1,9,1,65,0,8,0
119,27,1,17,1,26,1,49,1
120,48,1,65,1,64,1,23,1
121,41,1,59,1,4,1,0,1
122,66,1,24,1,26,1,41,1
123,26,0,48,0,14,1,37,1
124,63,1,17,1,40,1,61,1
125,48,1,65,1,27,1,65,1
126,49,1,51,1,27,0,65,1
127,41,0,44,0,26,0,40,1
128,3,0,38,1,48,0,65,1
129,45,1,76,0,38,1,40,1
130,17,1,48,1,17,0,53,1
131,20,0,61,0,53,1,65,0
132,36,1,18,1,17,1,51,1
133,13,1,36,1,32,1,27,1
134,66,1,26,1,27,1,14,1
135,48,0,40,1,27,1,64,0
136,26,0,49,1,0,1,36,1
137,3,1,45,1,64,1,65,1
138,66,1,27,1,65,1,64,1
139,41,1,47,0,24,1,66,1
140,38,1,48,1,0,1,26,1
141,65,1,42,1,27,1,62,1
142,40,1,48,1,24,1,26,1
143,19,1,4,1,62,1,0,1
144,64,1,31,1,38,1,0,1
145,66,1,64,0,38,1,36,1
146,24,1,74,0,26,1,38,1
147,36,1,17,1,45,1,64,1
